epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.42647,73.00000,42.00000,11539
1,1,0.36521,96.00000,35.00000,202
1,2,0.34171,60.00000,48.00000,164
1,3,0.33190,75.00000,42.00000,177
1,4,0.32131,55.00000,48.00000,155
1,5,0.31418,72.00000,42.00000,172
1,6,0.30931,73.00000,42.00000,174
1,7,0.30138,66.00000,48.00000,171
1,8,0.29716,63.00000,42.00000,160
1,9,0.29656,73.00000,42.00000,176
1,10,0.28869,81.00000,42.00000,184
1,11,0.28413,72.00000,42.00000,172
1,12,0.27868,79.00000,42.00000,185
1,13,0.28160,52.00000,54.00000,160
1,14,0.27794,65.00000,42.00000,163
1,15,0.26933,69.00000,42.00000,170
1,16,0.27153,62.00000,42.00000,160
1,17,0.26750,71.00000,42.00000,172
1,18,0.26857,75.00000,42.00000,178
1,19,0.26303,67.00000,42.00000,168
1,20,0.26560,63.00000,42.00000,161
1,21,0.25691,81.00000,42.00000,186
1,22,0.25744,68.00000,42.00000,169
1,23,0.25469,59.00000,48.00000,162
1,24,0.25015,70.00000,42.00000,171
1,25,0.25179,61.00000,48.00000,165
1,26,0.24757,75.00000,48.00000,187
1,27,0.24989,51.00000,54.00000,158
1,28,0.24445,70.00000,42.00000,174
1,29,0.24578,67.00000,42.00000,167
1,30,0.24973,63.00000,42.00000,160
1,31,0.24653,71.00000,48.00000,180
1,32,0.24234,69.00000,48.00000,177
1,33,0.24349,68.00000,42.00000,170
1,34,0.23932,65.00000,48.00000,172
1,35,0.23823,64.00000,42.00000,163
1,36,0.23745,59.00000,48.00000,163
1,37,0.22907,67.00000,42.00000,168
1,38,0.22564,71.00000,42.00000,172
1,39,0.23366,85.00000,35.00000,185
1,40,0.23419,76.00000,42.00000,180
1,41,0.23284,74.00000,42.00000,180
1,42,0.23228,69.00000,48.00000,177
1,43,0.23069,71.00000,42.00000,173
1,44,0.22855,57.00000,48.00000,159
1,45,0.23719,51.00000,48.00000,157
1,46,0.23069,70.00000,42.00000,171
1,47,0.23176,64.00000,42.00000,164
1,48,0.23470,62.00000,42.00000,159
1,49,0.23183,74.00000,42.00000,176
1,50,0.23478,78.00000,42.00000,181
1,51,0.22980,51.00000,54.00000,156
1,52,0.23265,60.00000,48.00000,163
1,53,0.24171,63.00000,48.00000,167
1,54,0.22969,69.00000,42.00000,169
1,55,0.22889,61.00000,48.00000,165
1,56,0.22967,49.00000,54.00000,155
1,57,0.22749,72.00000,42.00000,173
1,58,0.22749,63.00000,42.00000,160
1,59,0.22512,75.00000,42.00000,177
1,60,0.22540,85.00000,35.00000,183
1,61,0.22335,75.00000,42.00000,177
1,62,0.23771,61.00000,48.00000,164
1,63,0.22240,68.00000,48.00000,174
1,64,0.22726,65.00000,42.00000,163
1,65,0.22847,53.00000,54.00000,160
2,0,0.22379,69.00000,42.00000,188
2,1,0.22865,57.00000,42.00000,158
2,2,0.22769,65.00000,48.00000,189
2,3,0.22882,65.00000,48.00000,171
2,4,0.22161,69.00000,42.00000,168
2,5,0.22396,75.00000,42.00000,176
2,6,0.21979,64.00000,48.00000,166
2,7,0.23898,60.00000,48.00000,162
2,8,0.22716,75.00000,42.00000,176
2,9,0.23601,73.00000,42.00000,176
2,10,0.22986,62.00000,42.00000,157
2,11,0.22710,67.00000,42.00000,164
2,12,0.22539,57.00000,48.00000,156
2,13,0.23289,62.00000,48.00000,164
2,14,0.22140,69.00000,42.00000,167
2,15,0.22024,65.00000,42.00000,162
2,16,0.22730,57.00000,54.00000,164
2,17,0.22265,92.00000,36.00000,193
2,18,0.23172,67.00000,42.00000,164
2,19,0.21975,59.00000,48.00000,160
2,20,0.22701,71.00000,48.00000,177
2,21,0.23020,63.00000,48.00000,165
2,22,0.23269,63.00000,48.00000,165
2,23,0.22087,69.00000,42.00000,167
2,24,0.20661,93.00000,35.00000,193
2,25,0.22078,73.00000,42.00000,174
2,26,0.21652,69.00000,48.00000,174
2,27,0.21289,72.00000,42.00000,171
2,28,0.22494,80.00000,42.00000,181
2,29,0.21415,83.00000,42.00000,186
2,30,0.23339,49.00000,54.00000,153
2,31,0.22295,75.00000,42.00000,175
2,32,0.21160,75.00000,42.00000,179
2,33,0.20729,77.00000,42.00000,178
2,34,0.21436,63.00000,42.00000,158
2,35,0.21630,84.00000,42.00000,187
2,36,0.21343,91.00000,35.00000,190
2,37,0.20183,73.00000,42.00000,173
2,38,0.22197,55.00000,48.00000,154
2,39,0.21428,63.00000,42.00000,158
2,40,0.22101,63.00000,42.00000,158
2,41,0.21692,61.00000,48.00000,162
2,42,0.21981,50.00000,48.00000,150
2,43,0.21359,72.00000,42.00000,171
2,44,0.20889,69.00000,48.00000,174
2,45,0.21030,71.00000,48.00000,177
2,46,0.20597,93.00000,35.00000,193
2,47,0.21383,63.00000,42.00000,157
2,48,0.22027,57.00000,48.00000,157
2,49,0.20359,61.00000,42.00000,156
2,50,0.20015,93.00000,35.00000,193
2,51,0.18986,67.00000,42.00000,164
2,52,0.20240,71.00000,42.00000,170
2,53,0.20431,73.00000,42.00000,173
2,54,0.19597,72.00000,42.00000,171
2,55,0.19836,72.00000,42.00000,171
2,56,0.19410,63.00000,42.00000,159
2,57,0.19606,75.00000,42.00000,175
2,58,0.20779,62.00000,42.00000,157
2,59,0.19550,63.00000,48.00000,165
2,60,0.19863,67.00000,48.00000,171
2,61,0.19255,69.00000,42.00000,167
2,62,0.21852,60.00000,48.00000,162
2,63,0.20210,72.00000,42.00000,171
2,64,0.18589,82.00000,42.00000,184
2,65,0.19587,69.00000,42.00000,167
3,0,0.19015,69.00000,42.00000,188
3,1,0.20017,67.00000,42.00000,175
3,2,0.19694,63.00000,42.00000,163
3,3,0.18895,71.00000,48.00000,179
3,4,0.18033,67.00000,48.00000,172
3,5,0.19392,70.00000,48.00000,177
3,6,0.18753,61.00000,42.00000,156
3,7,0.18329,75.00000,42.00000,175
3,8,0.20444,54.00000,48.00000,155
3,9,0.18841,71.00000,48.00000,177
3,10,0.19049,63.00000,48.00000,165
3,11,0.18498,68.00000,42.00000,166
3,12,0.19138,62.00000,42.00000,157
3,13,0.19079,60.00000,48.00000,162
3,14,0.17521,73.00000,42.00000,173
3,15,0.18420,77.00000,42.00000,178
3,16,0.19060,64.00000,54.00000,174
3,17,0.18344,74.00000,42.00000,174
3,18,0.18595,62.00000,48.00000,164
3,19,0.17444,79.00000,42.00000,182
3,20,0.19677,50.00000,54.00000,155
3,21,0.18563,57.00000,54.00000,164
3,22,0.18500,69.00000,48.00000,176
3,23,0.17991,63.00000,48.00000,167
3,24,0.17667,79.00000,42.00000,181
3,25,0.16786,79.00000,42.00000,180
3,26,0.18956,59.00000,48.00000,160
3,27,0.19210,51.00000,54.00000,155
3,28,0.16041,78.00000,42.00000,181
3,29,0.17317,67.00000,48.00000,170
3,30,0.18249,77.00000,42.00000,178
3,31,0.18526,62.00000,42.00000,159
3,32,0.17459,71.00000,42.00000,169
3,33,0.16449,80.00000,42.00000,181
3,34,0.16395,77.00000,42.00000,178
3,35,0.18641,56.00000,54.00000,163
3,36,0.16736,86.00000,35.00000,183
3,37,0.17224,72.00000,42.00000,171
3,38,0.16380,69.00000,42.00000,169
3,39,0.16068,75.00000,42.00000,175
3,40,0.17641,68.00000,42.00000,167
3,41,0.16983,61.00000,48.00000,162
3,42,0.17226,64.00000,48.00000,166
3,43,0.16382,93.00000,36.00000,197
3,44,0.15525,78.00000,42.00000,179
3,45,0.17065,59.00000,48.00000,161
3,46,0.18316,64.00000,42.00000,160
3,47,0.16192,80.00000,42.00000,180
3,48,0.17457,68.00000,42.00000,166
3,49,0.16637,69.00000,42.00000,166
3,50,0.15871,74.00000,42.00000,174
